category,institution,city,state,type
HSI,Hodges University,Fort Myers,FL,Private 4yr
AANAPISI & HSI,Holy Names University,Oakland,CA,Private 4yr
AANAPISI,Homestead Schools,Torrance,CA,Private 4yr
HSI,Hope International University,Fullerton,CA,Private 4yr
HSI,Houston Baptist University,Houston,TX,Private 4yr
HSI,Howard Payne University,Brownwood,TX,Private 4yr
HBCU,Howard University,Washington,DC,Private 4yr
HSI,Humacao Community College,Humacao,PR,Private 4yr
HSI,Humboldt State University,Arcata,CA,Public 4yr
AANAPISI & HSI,Humphreys University-Stockton and Modesto Campuses,Stockton,CA,Private 4yr
HSI & HBCU,Huston-Tillotson University,Austin,TX,Private 4yr
ANNH & AANAPISI,Ilisagvik College,Barrow,AK,Public 4yr
TCU,Ilisagvik College,Barrow,AK,Public 4yr
HSI,Indian River State College,Fort Pierce,FL,Public 4yr
HSI,Indiana University-Northwest,Gary,IN,Public 4yr
TCU,Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,Public 4yr
HSI,Inter American University of Puerto Rico-Aguadilla Campus,Aguadilla,PR,Private 4yr
HSI,Inter American University of Puerto Rico-Arecibo Campus,Arecibo,PR,Private 4yr
HSI,Inter American University of Puerto Rico-Barranquitas Campus,Barranquitas,PR,Private 4yr
HSI,Inter American University of Puerto Rico-Bayamon Campus,Bayamon,PR,Private 4yr
HSI,Inter American University of Puerto Rico-Fajardo Campus,Fajardo,PR,Private 4yr
HSI,Inter American University of Puerto Rico-Guayama Campus,Guayama,PR,Private 4yr
HSI,Inter American University of Puerto Rico-Metropolitan Campus,San Juan,PR,Private 4yr
HSI,Inter American University of Puerto Rico-Ponce Campus,Mercedita,PR,Private 4yr
HSI,Inter American University of Puerto Rico-San German Campus,San German,PR,Private 4yr
HBCU,Jackson State University,Jackson,MS,Public 4yr
HBCU,Jarvis Christian College,Hawkins,TX,Private 4yr
HSI,John Paul the Great Catholic University,Escondido,CA,Private 4yr
PBI,Johnson & Wales University-Charlotte,Charlotte,NC,Private 4yr
HSI,Johnson & Wales University-Denver,Denver,CO,Private 4yr
PBI,Johnson & Wales University-Providence,Providence,RI,Private 4yr
HBCU,Johnson C Smith University,Charlotte,NC,Private 4yr
HSI,Johnson University Florida,Kissimmee,FL,Private 4yr
HSI,Judson University,Elgin,IL,Private 4yr
HSI,Kean University,Union,NJ,Public 4yr
HSI,Keiser University-Ft Lauderdale,Fort Lauderdale,FL,Private 4yr
HBCU,Kentucky State University,Frankfort,KY,Public 4yr
AANAPISI & HSI,La Sierra University,Riverside,CA,Private 4yr
TCU,Lac Courte Oreilles Ojibwe College,Hayward,WI,Public 4yr
AANAPISI,Laguna College of Art and Design,Laguna Beach,CA,Private 4yr
AANAPISI,Lake Washington Institute of Technology,Kirkland,WA,Public 4yr
HBCU,Lane College,Jackson,TN,Private 4yr
HBCU,Langston University,Langston,OK,Public 4yr
HSI,Laredo College,Laredo,TX,Public 4yr
HBCU,Le Moyne-Owen College,Memphis,TN,Private 4yr
HSI,Life Pacific University,San Dimas,CA,Private 4yr
PBI,Limestone University,Gaffney,SC,Private 4yr
PBI,Lincoln College,Lincoln,IL,Private 4yr
