instname,housed_under,college,school,department,program_area,program_level,cip_program,website_inst,website_program,website_catalog,course_titles
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Advanced Topics in Computer Science
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Independent Study
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Information Technology and Project Management
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Information Technology Risk Management
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Database Design and Implementation
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Data Communication and Networking
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Network Security
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,The Science of Cybersecurity and Management
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Ethics and Compliance Standards in Cybersecurity
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Advanced Network Security
